movieid,title,genre,year,director
0,The Thing,"Horror, Mystery, Sci-Fi",1982,John Carpenter
1,The Thing,"Horror, Mystery, Sci-Fi",2011,Matthijs van Heijningen Jr.
2,1917,"Drama, War",2019,Sam Mendes
3,Jurassic Park,"Action, Adventure, Sci-Fi",1993,Steven Spielberg
4,Alien,"Horror, Sci-Fi",1979,Ridley Scott
5,The Terminator,"Action, Sci-Fi",1984,James Cameron
6,Ghostbusters,"Action, Comedy, Fantasy ",1984,Ivan Reitman
7,Zombieland,"Adventure, Comedy, Horror",2009,Ruben Fleischer
8,Sherlock Holmes: A Game of Shadows,"Action, Adventure, Crime",2011,Guy Ritchie
9,Superbad,Comedy,2007,Greg Mottola